epoch_id,campaign_id,sequence_id,output_time,gps_seconds,fixed_lat_deg,fixed_lon_deg,fixed_height_m,ratio,n_sat_solution,pos_sigma_h,pos_sigma_v,reference_lat_deg,reference_lon_deg,fixed_error_h,risk_score,requires_review,quality_category,actual_exceeds_tolerance
23,DATA13,DATA13,2021-11-18 04:39:13.000000,1321245553.0,30.534804705,114.421190786,12.6233,53.7,22,0.0053037722424704,0.0125,30.5348047175,114.4211905718,0.0206023445904776,0.0011010890306858837,False,В пределах допуска — принято,False
24,DATA13,DATA13,2021-11-18 04:39:14.000000,1321245554.0,30.534804703,114.42119078,12.6201,26.2,22,0.0053037722424704,0.0125,30.5348047175,114.4211905717,0.0200540246564836,0.002834438885938543,False,В пределах допуска — принято,False
25,DATA13,DATA13,2021-11-18 04:39:15.000000,1321245555.0,30.534804715,114.421190775,12.6232,43.8,22,0.0053037722424704,0.0125,30.5348047175,114.4211905718,0.0195020412635451,0.0015478603065610032,False,В пределах допуска — принято,False
26,DATA13,DATA13,2021-11-18 04:39:16.000000,1321245556.0,30.534804722,114.421190799,12.6167,35.4,22,0.0053037722424704,0.0125,30.5348047175,114.4211905718,0.0218089376480692,0.002066188413987898,False,В пределах допуска — принято,False
27,DATA13,DATA13,2021-11-18 04:39:17.000000,1321245557.0,30.534804701,114.421190797,12.6207,31.8,22,0.0053037722424704,0.0125,30.5348047175,114.4211905718,0.0216885758755799,0.002338338217920663,False,В пределах допуска — принято,False
28,DATA13,DATA13,2021-11-18 04:39:18.000000,1321245558.0,30.534804705,114.421190794,12.6155,39.7,22,0.0053037722424704,0.0125,30.5348047175,114.421190572,0.0213492343388484,0.0017822377781370267,False,В пределах допуска — принято,False
29,DATA13,DATA13,2021-11-18 04:39:19.000000,1321245559.0,30.534804694,114.421190797,12.6141,48.3,22,0.0053037722424704,0.0125,30.5348047176,114.4211905722,0.0217309865894706,0.0013258929954253174,False,В пределах допуска — принято,False
30,DATA13,DATA13,2021-11-18 04:39:20.000000,1321245560.0,30.534804702,114.421190795,12.6204,32.4,22,0.0053037722424704,0.0125,30.5348047177,114.421190573,0.0213751930517374,0.0022906151307800484,False,В пределах допуска — принято,False
31,DATA13,DATA13,2021-11-18 04:39:21.000000,1321245561.0,30.534804692,114.421190771,12.6301,12.4,24,0.0052325901807804,0.011,30.5348047445,114.4211906693,0.011363345419323,0.0016340399832509064,False,В пределах допуска — принято,False
32,DATA13,DATA13,2021-11-18 04:39:22.000000,1321245562.0,30.534804712,114.42119078,12.6212,13.9,24,0.0052325901807804,0.011,30.5348047397,114.4211906534,0.0125312543333224,0.0015518812124147748,False,В пределах допуска — принято,False
